Title,S1,Authors,Year,Pages,Document Type,DOI,Link,Keywords,Abstract,Source title,Conference name,Conference date,Conference location,Conference code,Sponsors,Cited by,Publication Stage,Open Access
Fluid Resonance Between Twin Floating Barges with Roll Motion Under Wave Action,,Li S.; Teng B.,2021,12,Article,10.1007/s13344-021-0070-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122308598&doi=10.1007%2fs13344-021-0070-8&partnerID=40&md5=9fac7946635aff5dcad3a152ac88c6c9,fluid resonance in a narrow gap; OpenFOAM; roll motion of the twin barges,"The wave-induced fluid resonance between twin side-by-side rectangular barges coupled with the roll motion of the twin barges is investigated by both numerical simulation and physical model test. A 2D numerical wave flume, based on an open source computational fluid dynamics (CFD) package OpenFOAM, is applied for the numerical simulation. After numerical validations and convergent verifications, the characteristics of the fluid resonance in the gap between the twin rolling side-by-side barges are examined. The resonant frequency of the oscillating fluid in the gap between the twin rolling barges decreases compared with that between the twin fixed barges. Generally, the twin barges roll in the opposite directions, and their equilibrium positions lean oppositely with respect to the initial vertical direction. A physical model test is carried out for a further investigation, in which the twin barges are set oppositely leaning and fixed. From the present experimental results, a linear decrease of the resonant frequency with the increasing leaning angle is found. Combined with the numerical results, the deflection of the equilibrium positions of the twin barges is a relevant factor for the resonant frequency. Besides, the effects of the gap width and incident wave height on the fluid resonance coupled with roll motion are examined. © 2021, Chinese Ocean Engineering Society and Springer-Verlag GmbH Germany, part of Springer Nature.",China Ocean Engineering,,,,,,1,Final,All Open Access; Hybrid Gold Open Access
SALSA: Self-adjusting lean streaming analytics,,Basat R.B.; Einziger G.; Mitzenmacher M.; Vargaftik S.,2021,11,Conference paper,10.1109/ICDE51399.2021.00080,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112866379&doi=10.1109%2fICDE51399.2021.00080&partnerID=40&md5=88b9bcf5904291654fdb2a14d98cb07a,,"Counters are the fundamental building block of many data sketching schemes, which hash items to a small number of counters and account for collisions to provide good approximations for frequencies and other measures. Most existing methods rely on fixed-size counters, which may be wasteful in terms of space, as counters must be large enough to eliminate any risk of overflow. Instead, some solutions use small, fixed-size counters that may overflow into secondary structures.This paper takes a different approach. We propose a simple and general method called SALSA for dynamic re-sizing of counters, and show its effectiveness. SALSA starts with small counters, and overflowing counters simply merge with their neighbors. SALSA can thereby allow more counters for a given space, expanding them as necessary to represent large numbers. Our evaluation demonstrates that, at the cost of a small overhead for its merging logic, SALSA significantly improves the accuracy of popular schemes (such as Count-Min Sketch and Count Sketch) over a variety of tasks. Our code is released as open source [1]. © 2021 IEEE.",Proceedings - International Conference on Data Engineering,"37th IEEE International Conference on Data Engineering, ICDE 2021",19 April 2021 through 22 April 2021,"Virtual, Chania",170983,,4,Final,All Open Access; Green Open Access
Porting and FPGA Implementation of LXDE Desktop Environment Based on RISC-V,,Zou X.; Li T.; Li R.; Yang L.; Wang X.; Wang C.,2021,,Conference paper,10.1145/3487075.3487151,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121503257&doi=10.1145%2f3487075.3487151&partnerID=40&md5=2792bc0e505e93c54b9d61e6a253fd36,Boom; Desktop environment; Risc-v; Soc,"As a new generation of open and reduced instruction set architecture, RISC-V has the characteristics of concise instruction set, modularity and scalability, and has been quickly and widely used due to its advantages of agile development mode and complete tool chains, but there are few desktop systems based on RISC-V at present. Based on the open source RISC-V BOOM core, this paper constructs a desktop system which can start the LXDE graphical interface on Xilinx VU440 FPGA. Specifically, we implement a variety of peripheral modules such as bus conversion and VGA on the boom core, and port the open source bootloader, Linux 4.15 kernel and LXDE desktop environment. Under the desktop system, standard test sets, such as CoreMark can be run normally, and the test results show that the performance of the system is at a high level. By extending peripherals, this RISC-V prototype system can be used to realize SoC in many special areas.. © 2021 Association for Computing Machinery. All rights reserved.",ACM International Conference Proceeding Series,"5th International Conference on Computer Science and Application Engineering, CSAE 2021",19 October 2021 through 21 October 2021,"Virtual, Online",175316,Association for Science and Engineering (ASciE),0,Final,
Thermoacoustic instability and flame transfer function in a lean direct injection model gas turbine combustor,,Joo S.; Kwak S.; Lee J.; Yoon Y.,2021,,Article,10.1016/j.ast.2021.106872,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107763670&doi=10.1016%2fj.ast.2021.106872&partnerID=40&md5=4da6497b6ad66e4eb816658d935baf65,Combustion instability; Flame transfer function; Lean direct injection combustor; Network modeling; OH-PLIF,"This paper discusses the combustion dynamic characteristics of hydrogen/methane flames and the flame response to fuel flow fluctuation in a model lean-direct injection gas turbine combustor. The results show that a higher frequency longitudinal thermoacoustic instability is triggered as hydrogen/methane ratios increase. The mode shift is accompanied by shortening flame length and hence decreasing convection time delay between fuel injection and flame location. The flame transfer function (FTF) subject to fuel flow rate modulation is determined over a range of frequencies for hydrogen/methane volume ratios of 25:75, 50:50, and 75:25 at a fixed equivalence ratio of 0.55. The input and output of the FTF are the velocity fluctuation of fuel-mixture at the inlet of the burner and the heat release fluctuation of flame in the combustion zone, respectively. Because of the difficulty of measuring fuel flow velocity at the inlet of the combustor while the flame exists, the fuel transfer function (FLTF) is measured and used along with the intermediate flame transfer function (ITF) to determine the FTF. The transfer functions are measured at frequencies up to 600 Hz and the FTF above 600 Hz is determined from the flame response at higher harmonic frequencies. Results of the FLTF measurement show that an acoustic resonance is formed within the fuel injector and the resonance frequency changes with the hydrogen/methane ratio as well as the length of the fuel feedline. The gain of FTF at a given frequency decreases as the hydrogen content increases and the absolute value of the slope of the phase plot, which is related to the convection time delay between fuel injector tip and flame location, decreases as the hydrogen enrichment ratio increases. Using the measured FTF as input to an open-source simulator, the occurrence of instability is predicted and compared with experimental results. The modeling results agree very well with the experimental data in predicting the occurrence of unstable combustion, the frequency at which unstable combustion occurs, and the acoustic mode inside the combustor. © 2021 Elsevier Masson SAS",Aerospace Science and Technology,,,,,,18,Final,
Localizing a Covid phone app A university class experience,,Warburton K.; Krishnan K.B.,2021,26,Article,10.1075/jial.21007.war,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127678076&doi=10.1075%2fjial.21007.war&partnerID=40&md5=634a6418f6c74fb8036ae465cf77515f,capstone project; COVID-19 phone app localization; internationalization; Japanese; localization pedagogy; real-life localization,"In this paper we describe how a COVID-19 phone app was localized by students of the MA program in Translation and Interpreting at the University of Illinois at Urbana-Champaign. The project presented unique challenges including the urgency and short time-lines, less-than-optimal internationalization of the source code, limitations of the CAT tool, and the use of an open-source platform and crowd-sourced agile development model, in addition to particular linguistic aspects related to the new specialized subject matter, limited string context, and potentially sensitive data. On the other hand, it offered the opportunity to experience a real-life localization project, which had important pedagogical benefits for translation students. These and other aspects are described and suggestions proposed to enable similar projects to run smoothly. © John Benjamins Publishing Company.",Journal of Internationalization and Localization,,,,,,0,Final,
Iot helper: A lightweight and extensible framework for fast-prototyping iot architectures,,Mecca G.; Santomauro M.; Santoro D.; Veltri E.,2021,,Article,10.3390/app11209670,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117340269&doi=10.3390%2fapp11209670&partnerID=40&md5=aeda0db39faf9cad95685b51fb37b2bd,Edge computing; Embedded-system control; Internet of things; Open-source software; Smart manufacturing,"Industry 4.0 is focused on the task of creating Smart Factories, which require the automation of traditional industrial processes and the fully connection and integration of different systems and devices. However, despite the wide availability of tools and technology, developing intelligent applications in the industry framework remains a complex and expensive task. This paper proposes a lightweight, extensible and scalable framework called IoT Helper to facilitate the adoption of IoT and IIoT solutions both in industry and domotics. The framework is designed to be highly flexible and declarative in nature, thus allowing for a wide range of configurations with minimal user efforts. To emphasize the practical applicability or our proposal, we present two real-life use cases where the framework was successfully adopted. We also investigate a crucial aspect of these applications, i.e., what level of scalability can be achieved with a lean generic framework based on inexpensive components such as ours. Comprehensive experimental results show the excellent cost-to-performance ratio of our solution. We consider this to be an important contribution because it paves the way for a more widespread adoption of IIoT-enabling technologies in industry. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Applied Sciences (Switzerland),,,,,,2,Final,All Open Access; Gold Open Access
THREE NATIONS COLLABORATE TO BUILD MARS SPACECRAFT FLIGHT SOFTWARE,,Almidfa I.; Allison G.; Tate G.; Looney K.; Wuerthner C.; Gates D.; Brown A.,2021,,Conference paper,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127553304&partnerID=40&md5=bcb9e1496d04c62ac749bfd3fc5b4709,cFS; collaboration; EMM; Mars; software; spacecraft,"A robust, reliable, state of the art spacecraft Flight Software (FSW) subsystem is an important component of space mission success; developing one in collaboration with engineers from other countries added new dimensions to the process. Designing and implementing the software was one challenge, however, managing the development to satisfy the project's schedule and requirements in terms of resources and build deliveries was more challenging. Engineers from three nations, the United Arab Emirates, the United States of America, and Canada, joined forces to create the Emirates Mars Mission (EMM) Spacecraft FSW. The combination of collective management, experienced engineers, an Agile Scrum methodology, common development and test tools, and open-source products were crucial components of our success. These components equipped our team with the necessary resources to allow the flexibility needed to adapt to, and meet, the obstacles and limitations encountered on the journey. The processes we developed allowed our team to accomplish the task. Despite working in 3 different time zones, the FSW Team managed to deliver a feature-complete, fully-qualified product, on-time, that has since executed successfully in-flight. EMM successfully achieved orbit at Mars on Feb 9th 2021. Copyright © 2021 by International Astronautical Federation (IAF). All rights reserved.","Proceedings of the International Astronautical Congress, IAC","19th IAA Symposium on Building Blocks for Future Space Exploration and Development 2021 at the 72nd International Astronautical Congress, IAC 2021",25 October 2021 through 29 October 2021,Dubai,177593,,0,Final,
Playing planning poker in crowds: Human computation of software effort estimates,,Alhamed M.; Storer T.,2021,11,Conference paper,10.1109/ICSE43902.2021.00014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115730350&doi=10.1109%2fICSE43902.2021.00014&partnerID=40&md5=7dc8da7444203b354f48566a3adbe787,Agile development; Augmented intelligence; Crowd planning poker; Crowdsourcing; Human Computation; Open source; Planning poker; Software effort estimation; Software engineering,"Reliable cost effective effort estimation remains a considerable challenge for software projects. Recent work has demonstrated that the popular Planning Poker practice can produce reliable estimates when undertaken within a software team of knowledgeable domain experts. However, the process depends on the availability of experts and can be time-consuming to perform, making it impractical for large scale or open source projects that may curate many thousands of outstanding tasks. This paper reports on a full study to investigate the feasibility of using crowd workers supplied with limited information about a task to provide comparably accurate estimates using Planning Poker. We describe the design of a Crowd Planning Poker (CPP) process implemented on Amazon Mechanical Turk and the results of a substantial set of trials, involving more than 5000 crowd workers and 39 diverse software tasks. Our results show that a carefully organised and selected crowd of workers can produce effort estimates that are of similar accuracy to those of a single expert.  © 2021 IEEE.",Proceedings - International Conference on Software Engineering,"43rd IEEE/ACM International Conference on Software Engineering, ICSE 2021",22 May 2021 through 30 May 2021,"Virtual, Online",170992,Association for Computing Machinery (ACM); IEEE Computer Society; IEEE Technical Council on Software Engineering (TCSE); Special Interest Group on Software Engineering (SIGSOFT),4,Final,All Open Access; Green Open Access
Open approach of scaled agile for organizations and communities dedicated to the development of Open-Source projects,,González-Blázquez J.L.; García-Holgado A.; García-Peñalvo F.J.,2021,5,Conference paper,10.1145/3486011.3486543,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122079942&doi=10.1145%2f3486011.3486543&partnerID=40&md5=40622098bf8c97f308bac79f615608e9,agile culture; agile frameworks; agile methodologies; agile methods; agile software development; DevOps; Free software; Lean; open source; scaled agile framework,"How organizations develop and provide their services and software projects is undergoing significant changes and the work methodology applied has agility as its key element when it comes to successfully facing this process for the transformation of traditional business models. This scenario is not foreign to companies dedicated to the development of open-source projects, whose products have experienced a boom over the last decade, leading more and more organizations to include them in their portfolios to improve their IT management, accelerate their digital transformation and boost their businesses. These changes are due to the unique qualities and characteristics of free software, which provide organizations with a wide range of helpful solutions for data analysis, distributed communication, or application deployment. It is essential for these types of companies, which are often supported by communities of developers, to have a culture and values aligned with agility, to prevent the numerous problems that may be caused by the lack of agility concerning the sustainability and transparency of their projects, thereby seriously damaging their competitiveness. This work presents the current state of a doctoral research to support a new open approach that provides solutions and proposals to these organizations and Open-Source communities, providing them with values, principles, guidelines, and agile skills with which to respond to the difficulties and complex dynamics that they face in the agile scaling process.  © 2021 ACM.",ACM International Conference Proceeding Series,"9th International Conference on Technological Ecosystems for Enhancing Multiculturality, TEEM 2021",27 October 2021 through 29 October 2021,Barcelona,175542,,2,Final,
Iter8: Online experimentation in the cloud,,Toslali M.; Parthasarathy S.; Oliveira F.; Huang H.; Coskun A.K.,2021,15,Conference paper,10.1145/3472883.3486984,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119261109&doi=10.1145%2f3472883.3486984&partnerID=40&md5=e0f184980e7c2d3c8563ccd9a23693e1,Distributed systems; Multi-armed bandit; Online experimentation; Performance,"Online experimentation is an agile software development practice that plays an essential role in enabling rapid innovation. Existing solutions for online experimentation in Web and mobile applications are unsuitable for cloud applications. There is a need for rethinking online experimentation in the cloud to advance the state-of-the-art by considering the unique challenges posed by cloud environments. In this paper, we introduce Iter8, an open-source system that enables practitioners to deliver code changes to cloud applications in an agile manner while minimizing risk. Iter8 embodies our novel mathematical formulation built on online Bayesian learning and multi-armed bandit algorithms to enable online experimentation tailored for the cloud, considering both SLOs and business concerns, unlike existing solutions. Using Iter8, practitioners can safely and rapidly orchestrate various types of online experiments, gain key insights into the behavior of cloud applications, and roll out the optimal versions in an automated and statistically rigorous manner.  © 2021 Association for Computing Machinery.",SoCC 2021 - Proceedings of the 2021 ACM Symposium on Cloud Computing,"12th Annual ACM Symposium on Cloud Computing, SoCC 2021",1 November 2021 through 4 November 2021,"Virtual, Online",173200,ACM Special Interest Groups on Management of Data (ACM SIGMOD); ACM Special Interest Groups on Operating Systems (ACM SIGOPS); et al.; Exotanium; Microsoft; Salesforce,0,Final,
Machine Learning-based Estimation of Story Points in Agile Development: Industrial Experience and Lessons Learned,,Abadeer M.; Sabetzadeh M.,2021,9,Conference paper,10.1109/REW53955.2021.00022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118461307&doi=10.1109%2fREW53955.2021.00022&partnerID=40&md5=3c8f05991b322e5b9f7f6c68962a4777,Agile Development; Machine Learning; Story-point Estimation,"Estimating story points is an important activity in agile software engineering. Story-point estimation enables software development teams to, among other things, better scope products, prioritize requirements, allocate resources and measure progress. Several machine learning techniques have been proposed for automated story-point estimation. However, most of these techniques use open-source projects for evaluation. There are important differences between open-source and commercial projects with respect to story authoring. The goal of this paper is to evaluate a state-of-the-art machine learning technique, known as Deep-SE [3], for estimating story points in a commercial project. Our dataset is comprised of 4,727 stories for a data anonymization product developed by a 27-member agile team at a healthcare data science company, IQVIA. Over this dataset, Deep-SE achieved a mean absolute error of 1.46, significantly better than three different baselines. Model performance nonetheless varied across stories, with the estimation error being larger for stories that had higher points. Our results further indicate that model performance is correlated with certain story characteristics such as the level of detail and the frequency of vague terms in the stories. An important take-away from our study is that, before organizations attempt to introduce machine learning-based estimation into agile development, they need to better embrace agile best practices, particularly in relation to story authoring and expert-based estimation.  © 2021 IEEE.",Proceedings of the IEEE International Conference on Requirements Engineering,"29th IEEE International Requirements Engineering Conference Workshops, REW 2021",20 September 2021 through 24 September 2021,"Virtual, Notre Dame",173221,,3,Final,
Bluejay: A Cross-Tooling Audit Framework for Agile Software Teams,,Garcia C.; Guerrero A.; Zeitsoff J.; Korlakunta S.; Fernandez P.; Fox A.; Ruiz-Cortes A.,2021,5,Conference paper,10.1109/ICSE-SEET52601.2021.00038,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115635688&doi=10.1109%2fICSE-SEET52601.2021.00038&partnerID=40&md5=2d0e25b1484a8db3817c422bd2fcef29,agile; team dashboard; team practice; team practice agreement,"Agile software teams are expected to follow a number of specific Team Practices (TPs) during each iteration, such as estimating the effort ('points') required to complete user stories and coordinating the management of the codebase with the delivery of features. For software engineering instructors trying to teach such TPs to student teams, manually auditing teams if teams are following the TPs and improving over time is tedious, time-consuming and error-prone. It is even more difficult when those TPs involve two or more tools. For example, starting work on a feature in a project-management tool such as Pivotal Tracker should usually be followed relatively quickly by the creation of a feature branch on GitHub. Merging a feature branch on GitHub should usually be followed relatively quickly by deploying the new feature to a staging server for customer feedback. Few systems are designed specifically to audit such TPs, and existing ones, as far as we know, are limited to a single specific tool. We present Bluejay, an open-source extensible platform that uses the APIs of multiple tools to collect raw data, synthesize it into TP measurements, and present dashboards to audit the TPs. A key insight in Bluejay's design is that TPs can be expressed in terminology similar to that used for modeling and auditing Service Level Agreement (SLA) compliance. Bluejay therefore builds on mature tools used in that ecosystem and adapts them for describing, auditing, and reporting on TPs. Bluejay currently consumes data from five different widely-used development tools, and can be customized by connecting it to any service with a REST API. Video showcase available at governify.io/showcase/bluejay  © 2021 IEEE.",Proceedings - International Conference on Software Engineering,"43rd IEEE/ACM International Conference on Software Engineering: Joint Track on Software Engineering Education and Training, ICSE-JSEET 2021",25 May 2021 through 28 May 2021,"Virtual, Online",170990,Association for Computing Machinery (ACM); IEEE Computer Society; IEEE Technical Council on Software Engineering (TCSE); Special Interest Group on Software Engineering (SIGSOFT),2,Final,All Open Access; Green Open Access
"Watching the grid: Utility-independent measurements of electricity reliability in Accra, Ghana",,Klugman N.; Adkins J.; Paszkiewicz E.; Hickman M.G.; Podolsky M.; Taneja J.; Dutta P.,2021,15,Conference paper,10.1145/3412382.3458276,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106463671&doi=10.1145%2f3412382.3458276&partnerID=40&md5=1753d75156432abfc65a85eb5cc774b4,Grid reliability metering; Sensor deployments,"In much of the world, electricity grids are not instrumented at the customer level, limiting insights into the power quality experienced by utility customers. Moreover, to understand grid performance, regulators and investors must depend on utilities to self-report reliability data. To address these challenges, we introduce PowerWatch, an agile methodology to directly measure customer experience and aggregated grid performance without relying on the utility for deployment or management. PowerWatch employs a system of distributed sensors coupled with cloud-based analytics. We evaluate the PowerWatch methodology by deploying 462 sensors in homes and businesses in Accra, Ghana for over a year, yielding the largest open-source data set on electricity reliability at the customer-level in the region. We describe the architecture, design, and performance of PowerWatch, as well as the data that are collected, explaining how we determine the accuracy and coverage of our methodology without ground truth. Finally, we report on grid performance issues, finding nearly twice as many outages as the utility observed, suggesting a need for better grid performance monitoring. © 2021 Owner/Author.","Proceedings of the 20th International Conference on Information Processing in Sensor Networks, IPSN 2021 (co-located with CPS-IoT Week 2021)","20th International Conference on Information Processing in Sensor Networks, IPSN 2021, co-located with CPS-IoT Week 2021",18 May 2021 through 21 May 2021,"Virtual, Online",168832,ACM Special Interest Group on Embedded Systems (SIGBED); Signal Processing Society (IEEE-SPS),2,Final,All Open Access; Bronze Open Access
"OGITO, an Open Geospatial Interactive Tool to support collaborative spatial planning with a maptable",,Aguilar R.; Calisto L.; Flacke J.; Akbar A.; Pfeffer K.,2021,,Article,10.1016/j.compenvurbsys.2020.101591,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098481821&doi=10.1016%2fj.compenvurbsys.2020.101591&partnerID=40&md5=5de14e8176a3f8a582135633390ca606,Agile development; Human-centred design; Maptable; Planning support; User feedback,"Maptables are increasingly used to support collaborative spatial planning processes. Despite the proven benefits and claimed potential of using a maptable in such processes, software applications specifically designed for this device are still scarce. Moreover, often-used applications do not fully exploit the touch functionality of a maptable, or have low usability. To address this gap, we developed and evaluated the Open Geospatial Interactive TOol (OGITO), an open-source software application designed to support collaborative spatial planning processes with a maptable. To develop such tool, we combined human-centred design and Agile software development principles in a co-design effort with intended users and stakeholders. Through iterative development cycles and feedback from users, OGITO was evolved until it satisfied user expectations. In a case study on community mapping in Sumatra, Indonesia, a sample of users evaluated OGITO's usability. Case study participants reported high satisfaction with this tool for the tasks and context given. Our research shows the added value of iterative development and user feedback for improving and further development of the tool's usability and functionality. © 2020 The Authors","Computers, Environment and Urban Systems",,,,,,4,Final,All Open Access; Green Open Access; Hybrid Gold Open Access
"The One-key Seamless Integrating Platform for Open-source DevOps Tools, to Solve Interconnecting Issues and Boost CI/CD Efficiency",,Li C.-J.; Shih H.-J.,2021,3,Conference paper,10.1145/3473465.3473479,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117203289&doi=10.1145%2f3473465.3473479&partnerID=40&md5=1abb378642ca71ad6b39384906244d2e,CI/CD; DevOps; Open source,"With the widespread of DevOps and agile developments, and IT industries are concerning about license and compliance issues while adopting commercial developing solutions. Those IT industries desperately need open-source alternative solutions, as well as guidelines to follow SDLC standards. This study planned to establish a one-key seamless open-source DevOps developing platform, to solve interconnecting issues between open-source DevOps tools, boost CI/CD efficiency, and assure quality of software developments and products.  © 2021 ACM.",ACM International Conference Proceeding Series,"3rd International Conference on Information Technology and Computer Communications, ITCC 2021",23 June 2021 through 25 June 2021,"Virtual, Online",172281,,0,Final,
Enhancing Hybrid OSS Development Through Agile Methods and High Media Synchronicity,,Chengalur-Smith I.; Nevo S.; Fitzgerald B.,2021,26,Article,10.1145/3508484.3508490,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122619779&doi=10.1145%2f3508484.3508490&partnerID=40&md5=544c5ac7029b6928548a8c058d21e994,affective convergence; agile practices; cognitive convergence; hybrid oss teams; media synchronicity theory,"Open source software (OSS) is increasingly being developed by hybrid teams that consist of a mix of company employees and volunteer developers. While hybrid OSS teams are becoming more prevalent, they also face unique challenges due to the involvement of different constituents. To address those challenges, this paper develops and validates a new organizing model. Specifically, the paper draws on media synchronicity theory (MST) to theorize that hybrid OSS teams would benefit from adopting an organizing model that involves practicing agile methods and using communication tools with multiple symbols sets and high transmission velocity. The paper also extends MST by conceptualizing the theory's key concept of communication convergence as consisting of two distinct dimensions: affective and cognitive convergence. Using primary survey data from hybrid OSS teams, the paper presents empirical evidence that such an organizing model can enhance those teams' affective convergence and cognitive convergence and, in turn, their development productivity and the quality of the software. In addition, the results show that affective convergence has a stronger impact on hybrid OSS teams' performance than cognitive convergence.  © 2021 Copyright is held by the owner/author(s).",Data Base for Advances in Information Systems,,,,,,0,Final,
An Innovative Approach to Modeling VIPER Rover Software Life Cycle Cost,,Stukes S.; Allan M.; Bajjalieh G.; Deans M.; Fong T.; Hihn J.; Utz H.,2021,,Conference paper,10.1109/AERO50100.2021.9438347,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111375491&doi=10.1109%2fAERO50100.2021.9438347&partnerID=40&md5=7d45b66fd5bc67459c35a2090dbd82fc,flight software; independent cost estimate; Lunar rover; parametric modeling; software cost estimation; software estimating methodologies; software sizing,"NASA's 'Volatiles Investigating Polar Exploration Rover' (VIPER) will be the first robotic mission to prospect for water ice near the south pole of the Moon in late 2023 on a 100-Earth-day mission. The information that the VIPER rover provides will help improve understanding of the composition, distribution, and accessibility of Lunar polar volatiles and will help determine how the Moon's resources can support future human space exploration. VIPER, however, represents a radical departure from the way that NASA has traditionally developed planetary robotic missions. A key consequence of these differences is that estimating the cost of VIPER's rover software is challenging and complex. For example, VIPER is being developed using management procedures typically applied to NASA research and technology projects, rather than space flight programs. In addition, key portions of the rover's software are being designed as ground software to run on mission control computers (rather than onboard the rover as flight software as with prior planetary missions) taking advantage of continuous, interactive data communications between the Moon and Earth and higher performance computing available on the ground. Moreover, the rover's software is being engineered using Agile software development practices and incorporates a significant amount of open-source code, rather than following traditional (spiral, waterfall, etc.) development methods and in-house code. In this paper, we present an innovative process to estimate the life cycle cost of VIPER's rover software. We first describe how we modeled the architecture and code counts for three software elements: Rover Flight Software (RFSW), Rover Ground Software (RGSW), and Rover Simulation Software (RSIM). We then discuss key challenges and unique aspects of our approach, such as the lack of Lunar rover analogies, the need to integrate and test large open source software, and the strategies developed to account for use of non-space flight management practices and the impact of the COVID-19 pandemic. We conclude with a summary of our results, including cumulative distribution, nearest neighbors and cluster analysis, as well as heuristics used to confirm the reasonableness of the cost estimate. © 2021 IEEE.",IEEE Aerospace Conference Proceedings,"2021 IEEE Aerospace Conference, AERO 2021",6 March 2021 through 13 March 2021,Big Sky,170491,,2,Final,
MYMARHALAH: A SMART NAVIGATION MOBILE APPLICATION for MUSAFIR in MALAYSIA USING GIS and RELATED TECHNOLOGIES,,Ismail A.; Yusof M.F.M.; Sahlan N.S.; Omar S.; Rabai S.N.M.; Esa S.F.M.; Surip A.G.; Yazid K.A.; Ismail N.A.; Awang R.,2021,,Conference paper,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127412299&partnerID=40&md5=ed321ba431cc3b932eaf8f45b8869f95,Artificial Intelligence; Geographical Information System (GIS); Machine Learning Technique; Mobile Application,"Smartphone penetration in Malaysia has exceeded 88% as share of the population and is projected to continue to increase over the coming years. Rapid technological advances open up opportunities to develop Geographical Information System (GIS) based mobile applications using embedded features inherent in mobile devices as well as application framework components and APIs. The evolution in Global Positioning System (GPS) technology has improved the accessibility and navigation accuracy in mobile applications. Islam has set some specific rukhsah (concession) concepts that can be applied by musafir (muslim travellers) including prayers of jama' and qasar (combine and shorten) if the journey exceeds two (2) marhalah which has been decided as 81km by Malaysian Islamic Authority. Currently there aren't any well-defined application available to assist them in fulfilling their obligation in Malaysia. myMarhalah is a mobile GIS application developed to facilitate musafir with their journey by displaying navigation routes, calculating travelled distances, identifying permissible leniency for prayers, locating nearby mosques, showing prayer times and listing the answers for frequently asked questions on related issues. The application uses open source native cross platform development that supports agile software development life cycle (SDLC) and allows DevOps to develop full native application for iOS and android simultaneously. This saves a lot of time in maintenance and upgrades. Equipped with artificial intelligence and machine learning technologies, myMarhalah provides multiple route options to users and dynamically changes active navigation based on user's decision. Integration with mosque location allows users to navigate to the mosque of their choice in the middle of the journey to perform prayer and navigate back to the final destination seamlessly. The application also adopted big data technology in its search and query functions for better user experience (UX). With the absence of distinct application for musafir in Malaysia, myMarhalah is the first one-stop mobile GIS application that provides convenient solution for them to implement the concession concept in their journey. It is also in line with the Malaysian Government's Digitalisation Strategy to improve public service delivery using emerging technologies. © ACRS 2021.All right reserved.","42nd Asian Conference on Remote Sensing, ACRS 2021","42nd Asian Conference on Remote Sensing, ACRS 2021",22 November 2021 through 26 November 2021,Can Tho,177656,et al.; JAXA; PIESAT; Progoo; RESTEC; VidaGIS,0,Final,
Qualifying Software Engineers Undergraduates in DevOps - Challenges of Introducing Technical and Non-technical Concepts in a Project-oriented Course,,Alves I.; Rocha C.,2021,9,Conference paper,10.1109/ICSE-SEET52601.2021.00024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115640371&doi=10.1109%2fICSE-SEET52601.2021.00024&partnerID=40&md5=5b4c24f11ebbcce724b57c89d228a722,Agile-software-development; DevOps; education; Emerging-domains-of-software; Empirical-software-engineering; FOSS; Open-source; OSS; Tools-and-environments,"he constant changes in the software industry, practices, and methodologies impose challenges to teaching and learning current software engineering concepts and skills. DevOps is particularly challenging because it covers technical concepts, such as pipeline automation, and non-technical ones, such as team roles and project management. The present study investigates a course setup to introduce these concepts to software engineering undergraduates. We designed the course by employing coding to associate DevOps concepts to Agile, Lean, and Open source practices and tools. We present the main aspects of this project-oriented DevOps course, with 240 students enrolled it since its first offering in 2016. We conducted an empirical study, with both a quantitative and qualitative analysis, to evaluate this project-oriented course setup. We collected the data from the projects repository and students' perceptions from a questionnaire. We mined 148 repositories (corresponding to 72 projects) and obtained 86 valid responses to the questionnaire. We also mapped the concepts which are more challenging to students learn from experience. The results evidence that first-hand experience facilitates the comprehension of DevOps concepts and enriches classes discussions. we present a set of lessons learned, which may help professors better design and conduct project-oriented courses to cover DevOps concepts. © 2021 IEEE.",Proceedings - International Conference on Software Engineering,"43rd IEEE/ACM International Conference on Software Engineering: Joint Track on Software Engineering Education and Training, ICSE-JSEET 2021",25 May 2021 through 28 May 2021,"Virtual, Online",170990,Association for Computing Machinery (ACM); IEEE Computer Society; IEEE Technical Council on Software Engineering (TCSE); Special Interest Group on Software Engineering (SIGSOFT),5,Final,All Open Access; Green Open Access
