Title,S1,Authors,Year,Pages,Document Type,DOI,Link,Keywords,Abstract,Citation Count,Reference Count,Online Date,Date Added To Xplore,Publication Title
SymPlot: A Web-Tool to Visualise Symbolic Musical Data,,P. Muñoz-Lago; A. Llorens; E. Parada-Cabaleiro; Á. Torrente,2020,6,IEEE Conferences,10.1109/IV51561.2020.00092,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9373167,visualisation;music;data science;digital humanities;score;computational musicology;symbolic music data,"Some complex musical parameters might be especially difficult to understand for someone with no theoretical expertise in music. Musicians and music scholars alike normally evaluate such parameters visually by departing from scores, which present the musical events at once. Yet for the under-standing of such symbolic representations, musical training is essential, making scores mostly incomprehensible for amateurs. Data visualisation has been applied to meaningfully represent complex musical parameters, thus enabling music amateurs to grasp concepts such as texture or structure. Although scores are one of the ""primary"" sources to understand music, previous work shows a strong bias towards the visualisation of acoustic data, in detriment of the visualisation of symbolic information. To bridge the gap, we present SymPlot, a web-based open source tool to automatically visualise textural density, scoring, and structure from MusicXML files. Due to the multidisciplinary nature of the topic, in this project we have applied the Scrum's agile methodology, an iterative incremental approach specifically tailored for interdisciplinary projects. The tool, aimed at enhancing musical understanding in amateurs and students, as well as in scholars of other disciplines who need to incorporate music into their discourses, i.e., historians, philologists, etc., enables visualisation of local features at various hierarchical levels, highlighting similarities both within and across scores. Our evaluation of SymPlot-based on a five-level rating-scale test performed by 50 participants-suggests that colours increase users' understanding of complex musical parameters.",,35,11 mar. 2021,11 mar. 2021,2019 IEEE Aerospace Conference
Reusable Learning Objects: An Agile Approach,,R. P. Salas,2020,5,IEEE Conferences,10.1109/FIE44824.2020.9273947,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9273947,computer science education;course design;projects;teams;robotics,"This ""Innovative Practice"" full paper discusses Reusable Learning Objects (RLOs) and to what extent they have lived up to the promise, particularly of reusability. Reusable Learning Objects have actually been discussed in the literature for the last 20 years and yet true large scale sharing of learning and teaching materials remains relatively rare and challenging. This paper argues that part of the reason is that the granularity of the learning objects that are in use today is not conducive to true reuse. Certainly whole PowerPoint slide decks and word documents are kept in individuals' folders; perhaps bits are cut and pasted and emailed around; but providence, permissions, tracking and tracing are ad-hoc and styling, formatting, templates, slide layouts need to be tended to repeatedly. It is not an ideal situation. As a result, educators, teachers, course designers, are constantly reinventing the wheel, or searching for where that one excellent assignment, explanation, definition was last seen so it can be copied forward.This paper argues that to achieve effective reuse of Learning Objects, the following are required: smaller, more granular (""micro"") learning objects; means to combine them into larger presentation products; and modern revision and version control. The paper proposes applying approaches originating in the software engineering community, such as agile methodology, version control and management, markup languages, and agile publishing, which together form the ""Agile Approach"" of the title of the paper. With that foundation laid, the paper examines ""CourseGen"", an open source software platform designed for creating, sharing, reusing and publishing reusable course content. CourseGen uses a modified markdown format augmented by CourseGen specific directives, such as $link to and $include topic. The CourseGen compiler converts a collection of CourseGen files into the final format such as a web site or a PowerPoint. CourseGen was designed, used and refined over the last three years in several Computer Science Courses at Brandeis University.",3,11,04-Dec-20,04-Dec-20,2019 International Conference on Sensing and Instrumentation in IoT Era (ISSI)
Component-based Development Using Moodle As Alternative for E-learning Software Development,,K. Jingga; W. D. Sunindyo,2020,5,IEEE Conferences,10.1109/ICITEE49829.2020.9271670,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9271670,component-based development;e-learning;evaluation;integration model;Moodle,"This study used component-based development approach as alternative to develop software quickly and flexible. Moodle LMS as open source system was used as alternative to build e-learning software with traffic impact analysis (Andalalin) material as the case study. This study had done comparison design between system development from scratch and system development using existing component to prove that component-based development could be used as alternative for software development. The comparison started from development steps, strength and weakness of each methods, effort, and time. The effort and time estimation calculation were done by using adjusted story points (ASF) methods for Scrum methodology and COCOMO for CBSE methodology. To discover the flexibility of component-based development using Moodle, this study built additional component that related to the case study needs. After that, functional and nonfunctional testing was done towards the whole system which was developed using Moodle. This study also raised component addition model which could be used to integrate web-based additional component. The comparison result which was done in this study showed the development steps with component-based development were simpler than from scratch development. However, the effort estimation result for each methodology could not be compared, with the ASP value to calculate effort estimation was 1.1832 for Scrum methodology and 1.89 ManMonth for CBSE methodology from COCOMO calculation. Meanwhile, the time estimation result did not show the advantages of CBSE methodology because the calculation result was 12 weeks or 3 months for Scrum methodology and 3.18 months for CBSE methodology. The component additional model which was used to integrate web-based additional component into Moodle was successfully implemented. The evaluation result of Andalalin e-learning system showed the needs of Andalalin material learning could be fulfilled. Furthermore, the performance testing, which was done using Moodle Benchmark, found that the environment, where Moodle system was implemented, affected the system performance. From the usability testing and questionnaire result, the Moodle system was considered not difficult for respondents to use. Other than that, using the knowledge management system was considered helping respondent to understand the Andalalin material.",,15,01-Dec-20,01-Dec-20,2019 14th International Conference on Computer Engineering and Systems (ICCES)
Automated Grey-Box Testing of Microservice Architectures,,L. Giamattei; A. Guerriero; R. Pietrantuono; S. Russo,2022,10,IEEE Conferences,10.1109/QRS57517.2022.00070,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10062422,Microservices;Grey-box Testing;Functional testing,"Microservices Architectures (MSA) have found large adoption in companies delivering online services, often in conjunction with agile development practices. Microservices are distributed, independent and polyglot entities – all features favouring black-box testing. However, for real-scale MSA, a pure black-box strategy may not be able to exercise the system to properly cover the interactions involving internal microservices.We propose a grey-box strategy (MACROHIVE) for automated testing and monitoring of (internal) microservices interactions. It uses combinatorial testing to generate valid and invalid tests from microservices specification. Tests execution and monitoring are automated by a service mesh infrastructure. MACROHIVE runs the tests and traces the interactions among microservices, to report about internal coverage and failing behaviour.MACROHIVE is experimented on TrainTicket, an open-source MSA benchmark. It performs comparably to state-of-the-art techniques in terms of edge-level coverage, but exposes internal failures undetected by black-box testing, gives detailed internal coverage information, and requires fewer tests.",,56,20 mar. 2023,20 mar. 2023,"2022 IEEE 22nd International Conference on Software Quality, Reliability and Security (QRS)"
Developing a Virtual Smart Total Learning Environment for Future Teaching-Learning System,,M. A. Akour; A. Das,2020,3,IEEE Conferences,10.1109/TALE48869.2020.9368373,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9368373,smart;virtual;learning-environment;machine learning;big data;adaptive learning,"The world of education system after this COVID19 pandemic will have to change its dimension to map the needs of learners. The proposed framework is focused on transforming the learning experience into two possible ways like online and on-campus learning through groundbreaking & agile methodologies. The new interfaces for learners will be included like Gamification, animated tutorial etc. The framework designed here is the outcome of the e-learning experiences of the authors and it tries to add all relevant technologies with cutting-edge research to provide inspirational and transformative knowledge to learners of all ages, social status, communities who form worldwide communities of special-learners. It will rise to the occasion to use its open source technology along with the emerged technologies like IoT, 5G etc, to transcend physical and social borders. This framework is a total learning environment as it will incorporate all possible latest technologies like big data and machine learning. The e-learning system possesses features like personalized e-learning, anomaly detection, student performance monitoring, dynamic content preparations, students' satisfaction monitoring etc. The new framework will include big data, cloud applications, machine learning and artificial intelligence to make the system faster, efficient and smart. The new features will make the e-learning system based on Virtual Smart Total Learning Environment (VSTLE) more technologically sound and efficient in processing, predicting, evaluating and making storage backup. This framework is designed in such a way that the minimum human intervention will be needed for its functioning. As a result, the final output will be more accurate as compared to other e-learning systems available.",1,12,8 mar. 2021,8 mar. 2021,2020 International Computer Symposium (ICS)
Multi-Stakeholder Engagement in Agile Service Platform Co-Creation,,T. Pohjola; J. Grönman; J. Viljanen,2021,5,IEEE Conferences,10.23919/MIPRO52101.2021.9596665,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9596665,open source;co-creation;digital platform;service prototyping;smart destination,"In the recent decade, the concept of Smart Tourism Destination (STD) has emerged to represent both a strategic aim to develop sustainable competitive advantages for tourism destinations or wider regions, and a managerial approach and dimensions to enhance data-driven development to measure and apply smart technologies for competitive and inclusive change in a tourism ecosystem. In tourism destination development globally, the aim for sustainable digital transformation in low-productivity business sectors is one of the key drivers for smart tourism and smart destination development. More recently, the global Covid-19 pandemic has given a boost to touchless, digital and green tourism development initiatives in the EU and worldwide. To advance sustainable digital transformation with agile methods in STD development, a systemic service platform approach and agile prototyping with smart emerging technologies, (eg. with AI, IoT, Augmented & Virtual Reality, 5G and Robotics), and multi-stakeholder co-creation is needed to engage key tourism industry ecosystem representatives. This conceptual paper advocates that open-source solutions combined with comprehensive multi-stakeholder co-creation aid in prototyping a systemic digital platform solution for smart tourism destinations. The paper concludes with an illustration of a conceptual model of service platform development for smart destinations, utilizing network co-creation with quadruple-helix stakeholders for sustainable regional impacts.",,43,15 nov. 2021,15 nov. 2021,"2021 44th International Convention on Information, Communication and Electronic Technology (MIPRO)"
Revealing Coordination Needs from Task Allocation for Team Performance Estimation,,J. -H. Kuo; Y. -H. Li; H. C. Jiau,2020,5,IEEE Conferences,10.1109/ICS51289.2020.00102,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9359078,scrum;coordination;coordination needs;task dependency;task allocation;team performance estimation,"In scrum, the development team is responsible for converting the selected product backlog items of a sprint to a ""done"" product increment. In sprint planning, the team develops product functionality to fulfill the selected product backlog items. In order to implement the product functionality, the team plans needed activities and then decomposes the activities into tasks. When dependent tasks are assigned to different developers, there is need for coordination between developers. The needs of coordination are difficult to quantify, however, quantification of the needs of coordination is an important factor to accurately estimate team performance of a sprint. In this paper, a method is proposed to calculate distribution of task dependency among developers, and the distribution is defined as Coordination Needs. An experiment on an open source project, Spring, demonstrates that the Coordination Needs is strongly correlated with team performance. With the method, the Coordination Needs of task allocation is revealed so team performance of a sprint can be accurately estimated, and task allocation can be optimized.",,14,23-Feb-21,23-Feb-21,2020 IEEE Frontiers in Education Conference (FIE)
Model for teaching and training software testing in an agile context,,I. S. Elgrably; S. Ronaldo Bezerra Oliveira,2020,8,IEEE Conferences,10.1109/FIE44824.2020.9274117,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9274117,software testing;teaching model;focus on student;technical skills,"This Research to Practice Full Paper presents a proposal for a model to improve the teaching process of software testing supported by elements of agile methods. It was developed to be used as a guide to support professors or specialists for decision making, selection of teaching materials according to the participants' cognitive learning for the execution of subjects or teaching units on topics related to software testing. In addition to suggesting several personalized activities, presenting an instance of application of a teaching syllabus that adheres to several reference syllabus, this model also seeks to be extensible, to be applied in other teaching areas, trying not to be limited to the software testing area. The construction of this model makes use of practical teaching approaches supported by practices, such as gamification and playful teaching to motivate and engage participants, bringing common tasks and technologies in the software industry in parallel to classic lecture classes, in order to develop certain skills, which were obtained through academic syllabus, together with technical skills in software testing for participants, in addition to knowledge of several open source tools that are used by testing professionals in the software industry. This construction is specified in several stages arranged in a teaching cycle, being sequenced when they are applied and can be adapted for other learning scenarios. Subsequently, the skills, competences and support materials that can be used are presented in addition to the possible effects expected on students from the application of this model in the teaching of software testing. As it uses practical teaching approaches, it is advisable that this model is used by professors who have a teaching facilitator profile, as it presents humanistic teaching learning, with a focus on participants and teamwork, principles found in agile methods, in which activities will have deliveries of products that approach what is performed in a software company and it will be necessary the interaction of all participants in the model. The evaluation process for this teaching model took place in two stages. First, there was an analysis and individual evaluation of the model through the questionnaire, then there was a consensus meeting between the evaluators, where they justified the marks attributed in the evaluation and their considerations on other responses. This meeting aimed to solve disagreements and collect opinions, enabling problems to be solved and reaching a final consensus among the evaluators. The authors consider that it is necessary to remodel teaching paradigms of computing subjects, using together some characteristics of traditional approaches with more practical teaching approaches that solidify the knowledge of the participants for the challenges that exist in the software industry.",5,30,04-Dec-20,04-Dec-20,2019 Congreso Internacional de Innovación y Tendencias en Ingenieria (CONIITI )
iLearning Education 2.0 Based MooC Platform as Collaborative Learning Smart Technology,,P. Padeli; E. Sediyono; Z. A. Hasibuan; S. Maulana; A. Faturahman,2022,5,IEEE Conferences,10.1109/ICCIT55355.2022.10118808,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10118808,Learning;e-learning;Learning Management System;Development,"Media Education iLearning Education 2.0 (iDu 2.0) supports web-based adaptive collaborative learning that can be used to support online or distance learning activities. This paper aim how the emergence of innovation can change the educational process by utilizing the Learning Management System (LMS). Students can be motivated to work on assignments flexibly without being limited by space and time. The goal is to optimize the way and time of learning to improve academic achievement. Therefore, to produce highly effective learning innovations through iDu 2.0, an open source based Learning Management System (LMS) technology has now been utilized. Using Agile development methods allows software development in a short time. iDu 2.0 can be a solution to the innovation needed to support distance learning more effectively and efficiently. Based on these findings, iDu 2.0 is expected to be a breakthrough in technological innovation in this 4.0 era to increase the quantity and quality of distance learning for students in universities.",,39,10-May-23,10-May-23,2022 IEEE Creative Communication and Innovative Technology (ICCIT)
HULK-V: a Heterogeneous Ultra-low-power Linux capable RISC-V SoC,,L. Valente; Y. Tortorella; M. Sinigaglia; G. Tagliavini; A. Capotondi; L. Benini; D. Rossi,2023,5,IEEE Conferences,10.23919/DATE56975.2023.10137252,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10137252,RISC-V;Multi-processor;Heterogeneous;Asym-metric processing,"IoT applications span a wide range in performance and memory footprint, under tight cost and power constraints. High-end applications rely on power-hungry Systems-on-Chip (SoCs) featuring powerful processors, large LPDDR/DDR3/4/5 memories, and supporting full-fledged Operating Systems (OS). On the contrary, low-end applications typically rely on Ultra-Low-Power μcontrollers with a “close to metal” software en-vironment and simple micro-kernel-based runtimes. Emerging applications and trends of IoT require the “best of both worlds”: cheap and low-power SoC systems with a well-known and agile software environment based on full-fledged OS (e.g., Linux), coupled with extreme energy efficiency and parallel digital signal processing capabilities. We present HULK-V: an open-source Heterogeneous Linux-capable RISC-V-based SoC coupling a 64-bit RISC-V processor with an 8-core Programmable Multi-Core Accelerator (PMCA), delivering up to 13.8 GOps, up to 157 GOps/W and accelerating the execution of complex DSP and ML tasks by up to 112× over the host processor. HULK-V leverages a lightweight, fully digital memory hierarchy based on HyperRAM IoT DRAM that exposes up to 512 MB of DRAM memory to the host CPU. Featuring HyperRAMs, HULK-V doubles the energy efficiency without significant performance loss compared to featuring power-hungry LPDDR memories, requiring expensive and large mixed-signal PHYs. HULK-V, implemented in Global Foundries 22nm FDX technology, is a fully digital ultra-low-cost SoC running a 64-bit Linux software stack with OpenMP host-to-PMCA offload within a power envelope of just 250 mW.",,22,2 jun. 2023,2 jun. 2023,"2023 Design, Automation & Test in Europe Conference & Exhibition (DATE)"
